frame_id,mode,success,tx,ty,tz,qx,qy,qz,qw,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0000,register,1,0.03474415,-0.01363414,0.49887025,0.00558515,-0.02016394,-0.00069893,0.99978089,0.99918586,0.00117230,-0.04032684,0.03474415,-0.00162279,0.99993670,-0.01113968,-0.01363414,0.04031125,0.01119605,0.99912453,0.49887025,-0.00000000,0.00000000,-0.00000000,1.00000000
0001,track,1,0.03489766,-0.01453816,0.49877271,0.00629927,-0.02001912,-0.00138573,0.99977887,0.99919462,0.00251856,-0.04004680,0.03489766,-0.00302312,0.99991697,-0.01254025,-0.01453816,0.04001197,0.01265124,0.99911928,0.49877271,0.00000000,0.00000000,0.00000000,1.00000000
0002,track,1,0.03464698,-0.01375564,0.49876472,0.00588300,-0.02018544,-0.00126628,0.99977815,0.99918175,0.00229448,-0.04037672,0.03464698,-0.00276950,0.99992728,-0.01171225,-0.01375564,0.04034713,0.01181450,0.99911571,0.49876472,0.00000000,0.00000000,0.00000000,1.00000000
0003,track,1,0.03441249,-0.01315307,0.49873999,0.00546246,-0.02042811,-0.00112096,0.99977577,0.99916279,0.00201821,-0.04085930,0.03441249,-0.00246464,0.99993783,-0.01087666,-0.01315307,0.04083481,0.01096827,0.99910575,0.49873999,0.00000000,0.00000000,0.00000000,1.00000000
0004,track,1,0.03460118,-0.01303526,0.49871609,0.00526132,-0.02030740,-0.00135515,0.99977905,0.99917150,0.00249605,-0.04062008,0.03460118,-0.00292335,0.99994081,-0.01046526,-0.01303526,0.04059156,0.01057534,0.99911970,0.49871609,0.00000000,0.00000000,0.00000000,1.00000000
0005,track,1,0.03443934,-0.01348834,0.49870387,0.00562921,-0.02043035,-0.00121672,0.99977469,0.99916214,0.00220281,-0.04086521,0.03443934,-0.00266296,0.99993372,-0.01120618,-0.01348834,0.04083779,0.01130560,0.99910182,0.49870387,0.00000000,0.00000000,0.00000000,1.00000000
0006,track,1,0.03451877,-0.01374623,0.49869910,0.00584384,-0.02038208,-0.00107257,0.99977463,0.99916679,0.00190637,-0.04076754,0.03451877,-0.00238293,0.99992967,-0.01164133,-0.01374623,0.04074242,0.01172876,0.99910086,0.49869910,0.00000000,0.00000000,0.00000000,1.00000000
0007,track,1,0.03433076,-0.01344924,0.49870065,0.00563554,-0.02057249,-0.00080688,0.99977219,0.99915254,0.00138153,-0.04114467,0.03433076,-0.00184527,0.99993557,-0.01123530,-0.01344924,0.04112656,0.01130173,0.99909043,0.49870065,0.00000000,0.00000000,0.00000000,1.00000000
0008,track,1,0.03450724,-0.01333724,0.49870127,0.00555114,-0.02043718,-0.00068034,0.99977553,0.99916369,0.00113344,-0.04087275,0.03450724,-0.00158730,0.99993753,-0.01107197,-0.01333724,0.04085765,0.01112761,0.99910307,0.49870127,0.00000000,0.00000000,0.00000000,1.00000000
0009,track,1,0.03446506,-0.01332710,0.49869487,0.00555815,-0.02044807,-0.00051588,0.99977535,0.99916315,0.00080425,-0.04089269,0.03446506,-0.00125882,0.99993759,-0.01109270,-0.01332710,0.04088122,0.01113490,0.99910200,0.49869487,0.00000000,0.00000000,0.00000000,1.00000000
