frame_id,mode,success,tx,ty,tz,qx,qy,qz,qw,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0000,register,1,0.03474415,-0.01363414,0.49887025,0.00558515,-0.02016394,-0.00069893,0.99978089,0.99918586,0.00117230,-0.04032684,0.03474415,-0.00162279,0.99993670,-0.01113968,-0.01363414,0.04031125,0.01119605,0.99912453,0.49887025,-0.00000000,0.00000000,-0.00000000,1.00000000
0001,track,1,0.03481064,-0.01390556,0.49873394,0.00720937,-0.01979454,-0.00201987,0.99977607,0.99920815,0.00375343,-0.03960931,0.03481064,-0.00432425,0.99988794,-0.01433553,-0.01390556,0.03955111,0.01449548,0.99911243,0.49873394,-0.00000000,0.00000000,-0.00000000,1.00000000
0002,track,1,0.03459332,-0.01359318,0.49871835,0.00517544,-0.02070271,-0.00141532,0.99977130,0.99913871,0.00261572,-0.04141059,0.03459332,-0.00304428,0.99994248,-0.01028990,-0.01359318,0.04138131,0.01040711,0.99908918,0.49871835,-0.00000000,0.00000000,-0.00000000,1.00000000
0003,track,1,0.03463893,-0.01329617,0.49862084,0.00511804,-0.02019306,-0.00107532,0.99978244,0.99918205,0.00194351,-0.04038833,0.03463893,-0.00235686,0.99994540,-0.01019041,-0.01329617,0.04036634,0.01027728,0.99913210,0.49862084,-0.00000000,0.00000000,-0.00000000,1.00000000
0004,track,1,0.03451213,-0.01317574,0.49857190,0.00543816,-0.02074324,-0.00072801,0.99976981,0.99913824,0.00123011,-0.04148484,0.03451213,-0.00168128,0.99993986,-0.01084361,-0.01317574,0.04146903,0.01090403,0.99908030,0.49857190,-0.00000000,0.00000000,-0.00000000,1.00000000
0005,track,1,0.03447293,-0.01357133,0.49869439,0.00765885,-0.02069063,0.00013077,0.99975663,0.99914360,-0.00057838,-0.04136918,0.03447293,-0.00005543,0.99988270,-0.01531937,-0.01357133,0.04137319,0.01530856,0.99902654,0.49869439,-0.00000000,0.00000000,-0.00000000,1.00000000
0006,track,1,0.03450527,-0.01332406,0.49852085,0.00584246,-0.02146336,0.00061568,0.99975240,0.99907774,-0.00148183,-0.04290888,0.03450527,0.00098029,0.99993110,-0.01170844,-0.01332406,0.04292326,0.01165561,0.99901044,0.49852085,-0.00000000,0.00000000,-0.00000000,1.00000000
0007,track,1,0.03458463,-0.01307934,0.49883035,0.00456650,-0.02059576,0.00074414,0.99977720,0.99915034,-0.00167604,-0.04117555,0.03458463,0.00129986,0.99995726,-0.00916161,-0.01307934,0.04118913,0.00910033,0.99910992,0.49883035,-0.00000000,0.00000000,-0.00000000,1.00000000
0008,track,1,0.03466574,-0.01333485,0.49864456,0.00644138,-0.02085499,0.00037258,0.99976170,0.99912971,-0.00101365,-0.04169524,0.03466574,0.00047633,0.99991679,-0.01289520,-0.01333485,0.04170484,0.01286417,0.99904716,0.49864456,-0.00000000,0.00000000,-0.00000000,1.00000000
0009,track,1,0.03433461,-0.01321259,0.49847949,0.00489497,-0.02088490,0.00099126,0.99976945,0.99912554,-0.00218652,-0.04175047,0.03433461,0.00177761,0.99995017,-0.00982906,-0.01321259,0.04176987,0.00974630,0.99907970,0.49847949,-0.00000000,0.00000000,-0.00000000,1.00000000
0010,track,1,0.03495049,-0.01299527,0.49868083,0.00434011,-0.01738103,-0.00012435,0.99983954,0.99939561,0.00009780,-0.03475755,0.03495049,-0.00039952,0.99996227,-0.00867448,-0.01299527,0.03475539,0.00868317,0.99935806,0.49868083,-0.00000000,0.00000000,-0.00000000,1.00000000
0011,track,1,0.03447078,-0.01369522,0.49839410,0.00829362,-0.01788835,0.00011783,0.99980557,0.99935979,-0.00053233,-0.03576779,0.03447078,-0.00006109,0.99986237,-0.01658821,-0.01369522,0.03577169,0.01657983,0.99922234,0.49839410,-0.00000000,0.00000000,-0.00000000,1.00000000
0012,track,1,0.03457027,-0.01350388,0.49859154,0.00511550,-0.01883564,-0.00118860,0.99980879,0.99928743,0.00218406,-0.03767624,0.03457027,-0.00256944,0.99994475,-0.01018425,-0.01350388,0.03765190,0.01027385,0.99923801,0.49859154,-0.00000000,0.00000000,-0.00000000,1.00000000
