frame_id,mode,success,tx,ty,tz,qx,qy,qz,qw,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0000,register,1,0.03504143,-0.01298534,0.49898258,0.00344029,-0.01965791,0.00087134,0.99980050,0.99922550,-0.00187756,-0.03930198,0.03504143,0.00160708,0.99997479,-0.00691347,-0.01298534,0.03931395,0.00684495,0.99920344,0.49898258,-0.00000000,0.00000000,-0.00000000,1.00000000
0001,track,1,0.03490486,-0.01376037,0.49870655,0.00602730,-0.01910035,-0.00171687,0.99979794,0.99926430,0.00320283,-0.03821368,0.03490486,-0.00366328,0.99992156,-0.01198657,-0.01376037,0.03817228,0.01211775,0.99919772,0.49870655,-0.00000000,0.00000000,-0.00000000,1.00000000
0002,track,1,0.03454959,-0.01316425,0.49868360,0.00509738,-0.02131285,-0.00068564,0.99975961,0.99909037,0.00115368,-0.04262245,0.03454959,-0.00158821,0.99994725,-0.01016308,-0.01316425,0.04260846,0.01022154,0.99903959,0.49868360,-0.00000000,0.00000000,-0.00000000,1.00000000
0003,track,1,0.03472549,-0.01377138,0.49866241,0.00543833,-0.02005054,-0.00169765,0.99978274,0.99918991,0.00317652,-0.04011084,0.03472549,-0.00361261,0.99993527,-0.01080622,-0.01377138,0.04007389,0.01094236,0.99913681,0.49866241,-0.00000000,0.00000000,-0.00000000,1.00000000
0004,track,1,0.03463099,-0.01358150,0.49874502,0.00524428,-0.01951557,-0.00128457,0.99979496,0.99923474,0.00236395,-0.03903663,0.03463099,-0.00277329,0.99994189,-0.01043627,-0.01358150,0.03900965,0.01053654,0.99918330,0.49874502,-0.00000000,0.00000000,-0.00000000,1.00000000
0005,track,1,0.03457708,-0.01363849,0.49871269,0.00729930,-0.02029811,-0.00037022,0.99976730,0.99917531,0.00044398,-0.04059220,0.03457708,-0.00103655,0.99989337,-0.01458018,-0.01363849,0.04058134,0.01461020,0.99906945,0.49871269,-0.00000000,0.00000000,-0.00000000,1.00000000
0006,track,1,0.03442006,-0.01330705,0.49882907,0.00454289,-0.02045877,0.00004287,0.99978042,0.99916250,-0.00027156,-0.04090821,0.03442006,-0.00010012,0.99995875,-0.00908556,-0.01330705,0.04090891,0.00908200,0.99912155,0.49882907,-0.00000000,0.00000000,-0.00000000,1.00000000
0007,track,1,0.03462389,-0.01317498,0.49881816,0.00429599,-0.02102361,-0.00010138,0.99976975,0.99911559,0.00002213,-0.04203845,0.03462389,-0.00038328,0.99996310,-0.00858577,-0.01317498,0.04203663,0.00859425,0.99907911,0.49881816,-0.00000000,0.00000000,-0.00000000,1.00000000
0008,track,1,0.03476793,-0.01327364,0.49884641,0.00498080,-0.01951826,0.00044131,0.99979705,0.99923724,-0.00107683,-0.03902422,0.03476793,0.00068806,0.99994999,-0.00997683,-0.01327364,0.03903294,0.00994231,0.99918848,0.49884641,-0.00000000,0.00000000,-0.00000000,1.00000000
0009,track,1,0.03432835,-0.01350480,0.49859369,0.00604828,-0.02004725,0.00087379,0.99978036,0.99919420,-0.00198964,-0.04007517,0.03432835,0.00150476,0.99992520,-0.01212898,-0.01350480,0.04009622,0.01205881,0.99912292,0.49859369,-0.00000000,0.00000000,-0.00000000,1.00000000
0010,track,1,0.03486952,-0.01333657,0.49881890,0.00581961,-0.01800285,0.00010413,0.99982101,0.99935126,-0.00041770,-0.03599809,0.03486952,-0.00000125,0.99993211,-0.01164093,-0.01333657,0.03600043,0.01163335,0.99928391,0.49881890,-0.00000000,0.00000000,-0.00000000,1.00000000
0011,track,1,0.03450157,-0.01362302,0.49856380,0.00850225,-0.01787656,0.00017411,0.99980402,0.99936020,-0.00065208,-0.03574319,0.03450157,0.00004423,0.99985522,-0.01700744,-0.01362302,0.03574902,0.01699490,0.99921614,0.49856380,-0.00000000,0.00000000,-0.00000000,1.00000000
0012,track,1,0.03425700,-0.01328644,0.49865922,0.00457019,-0.02057314,-0.00098002,0.99977744,0.99915099,0.00177163,-0.04114612,0.03425700,-0.00214759,0.99995601,-0.00909806,-0.01328644,0.04112812,0.00917861,0.99911147,0.49865922,-0.00000000,0.00000000,-0.00000000,1.00000000
0013,track,1,0.03477956,-0.01329248,0.49867088,0.00483424,-0.01799726,-0.00081182,0.99982601,0.99935031,0.00144942,-0.03599613,0.03477956,-0.00179730,0.99995166,-0.00963762,-0.01329248,0.03598037,0.00969595,0.99930519,0.49867088,-0.00000000,0.00000000,-0.00000000,1.00000000
0014,track,1,0.03434904,-0.01412426,0.49795741,0.00905564,-0.01916054,-0.00196687,0.99977350,0.99925745,0.00358588,-0.03834803,0.03434904,-0.00427980,0.99982792,-0.01803185,-0.01412426,0.03827672,0.01818248,0.99910128,0.49795741,-0.00000000,0.00000000,-0.00000000,1.00000000
0015,track,1,0.03455009,-0.01436884,0.49770468,0.00995161,0.00047801,-0.00016864,0.99995035,0.99999881,0.00034683,0.00095261,0.03455009,-0.00032767,0.99980152,-0.01990245,-0.01436884,-0.00095935,0.01990200,0.99980092,0.49770468,-0.00000000,0.00000000,-0.00000000,1.00000000
0016,track,1,0.03485690,-0.01528006,0.50255519,0.01449568,0.04317617,-0.00037661,0.99896222,0.99627066,0.00200425,0.08625174,0.03485690,0.00049938,0.99957913,-0.02899384,-0.01528006,-0.08627363,0.02892868,0.99585068,0.50255519,-0.00000000,0.00000000,-0.00000000,1.00000000
0017,track,1,0.03447757,-0.01532547,0.49649993,0.01766914,0.07237460,0.00079918,0.99722070,0.98952186,0.00096375,0.14437503,0.03447757,0.00415159,0.99937391,-0.03512443,-0.01532547,-0.14431863,0.03535568,0.98889875,0.49649993,-0.00000000,0.00000000,-0.00000000,1.00000000
0018,track,1,0.03310135,-0.01566982,0.49786955,0.01558350,0.08142830,0.00149404,0.99655628,0.98673362,-0.00043984,0.16234219,0.03310135,0.00551572,0.99950945,-0.03081639,-0.01566982,-0.16224915,0.03130292,0.98625243,0.49786955,-0.00000000,0.00000000,-0.00000000,1.00000000
0019,track,1,0.03397695,-0.01423756,0.49587902,0.01347244,0.12183380,0.00505746,0.99244624,0.97026110,-0.00675564,0.24196312,0.03397695,0.01332136,0.99958539,-0.02550904,-0.01423756,-0.24169062,0.02797361,0.96994931,0.49587902,-0.00000000,0.00000000,-0.00000000,1.00000000
0020,track,1,0.03255067,-0.01427029,0.49446008,0.01407921,0.15057755,0.00493578,0.98848563,0.95460337,-0.00551780,0.29782632,0.03255067,0.01399799,0.99955434,-0.02634782,-0.01427029,-0.29754838,0.02932055,0.95425558,0.49446008,-0.00000000,0.00000000,-0.00000000,1.00000000
0021,track,1,0.03269881,-0.01472814,0.49355668,0.01874336,0.18966533,0.00266928,0.98166627,0.92803913,0.00186930,0.37247592,0.03269881,0.01235067,0.99928266,-0.03578695,-0.01472814,-0.37227586,0.03781191,0.92735076,0.49355668,-0.00000000,0.00000000,-0.00000000,1.00000000
0022,track,1,0.03272664,-0.01553401,0.49237409,0.02092504,0.22260346,0.00086887,0.97468412,0.90089327,0.00762227,0.43397221,0.03272664,0.01100976,0.99912220,-0.04040381,-0.01553401,-0.43389952,0.04117734,0.90001899,0.49237409,-0.00000000,0.00000000,-0.00000000,1.00000000
0023,track,1,0.03237271,-0.01539847,0.49170709,0.01917010,0.25543100,-0.00005880,0.96663719,0.86950934,0.00990699,0.49381575,0.03237271,0.00967965,0.99926448,-0.03709116,-0.01539847,-0.49382025,0.03703094,0.86877429,0.49170709,-0.00000000,0.00000000,-0.00000000,1.00000000
0024,track,1,0.03217961,-0.01542459,0.49126893,0.01946800,0.29075459,0.00116530,0.95659894,0.83092022,0.00909141,0.55631614,0.03217961,0.01355031,0.99923879,-0.03656855,-0.01542459,-0.55622536,0.03792369,0.83016491,0.49126893,-0.00000000,0.00000000,-0.00000000,1.00000000
