frame_id,mode,success,tx,ty,tz,qx,qy,qz,qw,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0000,register,1,0.03474415,-0.01363414,0.49887025,0.00558515,-0.02016394,-0.00069893,0.99978089,0.99918586,0.00117230,-0.04032684,0.03474415,-0.00162279,0.99993670,-0.01113968,-0.01363414,0.04031125,0.01119605,0.99912453,0.49887025,-0.00000000,0.00000000,-0.00000000,1.00000000
0001,track,1,0.03474494,-0.01391284,0.49879670,0.00582609,-0.02016049,-0.00106981,0.99977922,0.99918461,0.00190422,-0.04032451,0.03474494,-0.00237408,0.99992967,-0.01160648,-0.01391284,0.04029962,0.01169273,0.99911904,0.49879670,0.00000000,0.00000000,0.00000000,1.00000000
0002,track,1,0.03442082,-0.01343348,0.49881503,0.00556965,-0.02043667,-0.00091128,0.99977529,0.99916321,0.00159451,-0.04087430,0.03442082,-0.00204977,0.99993652,-0.01109954,-0.01343348,0.04085400,0.01117404,0.99910283,0.49881503,0.00000000,0.00000000,0.00000000,1.00000000
0003,track,1,0.03455224,-0.01329453,0.49875429,0.00548377,-0.02037563,-0.00092495,0.99977702,0.99916816,0.00162603,-0.04075231,0.03455224,-0.00207293,0.99993825,-0.01092740,-0.01329453,0.04073203,0.01100279,0.99910963,0.49875429,0.00000000,0.00000000,0.00000000,1.00000000
0004,track,1,0.03464982,-0.01310283,0.49872330,0.00532872,-0.02030095,-0.00094002,0.99977934,0.99917418,0.00166328,-0.04060296,0.03464982,-0.00209598,0.99994159,-0.01061693,-0.01310283,0.04058293,0.01069327,0.99911916,0.49872330,0.00000000,0.00000000,0.00000000,1.00000000
0005,track,1,0.03464479,-0.01339327,0.49871966,0.00559036,-0.02025849,-0.00084511,0.99977881,0.99917781,0.00146332,-0.04051746,0.03464479,-0.00191635,0.99993610,-0.01114401,-0.01339327,0.04049857,0.01121249,0.99911678,0.49871966,0.00000000,0.00000000,0.00000000,1.00000000
0006,track,1,0.03458201,-0.01358964,0.49872303,0.00573758,-0.02029977,-0.00073684,0.99977726,0.99917483,0.00124043,-0.04059899,0.03458201,-0.00170627,0.99993312,-0.01144271,-0.01358964,0.04058200,0.01150250,0.99910998,0.49872303,0.00000000,0.00000000,0.00000000,1.00000000
0007,track,1,0.03440696,-0.01340324,0.49874341,0.00560497,-0.02046929,-0.00056503,0.99977463,0.99916130,0.00090036,-0.04093563,0.03440696,-0.00135925,0.99993646,-0.01118428,-0.01340324,0.04092307,0.01123056,0.99909925,0.49874341,0.00000000,0.00000000,0.00000000,1.00000000
0008,track,1,0.03447206,-0.01350677,0.49872804,0.00571901,-0.02044333,-0.00045109,0.99977458,0.99916363,0.00066815,-0.04088244,0.03447206,-0.00113580,0.99993408,-0.01141698,-0.01350677,0.04087242,0.01145390,0.99909872,0.49872804,0.00000000,0.00000000,0.00000000,1.00000000
0009,track,1,0.03461412,-0.01348894,0.49868795,0.00572195,-0.02030789,-0.00034078,0.99977738,0.99917495,0.00044900,-0.04061065,0.03461412,-0.00091379,0.99993432,-0.01142752,-0.01348894,0.04060282,0.01145516,0.99910975,0.49868795,0.00000000,0.00000000,0.00000000,1.00000000
0010,track,1,0.03479767,-0.01336910,0.49868646,0.00565944,-0.02015010,-0.00032537,0.99978089,0.99918771,0.00042251,-0.04029498,0.03479767,-0.00087869,0.99993575,-0.01130328,-0.01336910,0.04028778,0.01132954,0.99912399,0.49868646,0.00000000,0.00000000,0.00000000,1.00000000
0011,track,1,0.03505155,-0.01379623,0.49865243,0.00603033,-0.01991364,-0.00027412,0.99978352,0.99920654,0.00030796,-0.03982195,0.03505155,-0.00078829,0.99992692,-0.01204713,-0.01379623,0.03981534,0.01206896,0.99913418,0.49865243,0.00000000,0.00000000,0.00000000,1.00000000
0012,track,1,0.03500284,-0.01374846,0.49864843,0.00600472,-0.01989796,-0.00031299,0.99978393,0.99920803,0.00038686,-0.03979109,0.03500284,-0.00086483,0.99992770,-0.01199439,-0.01374846,0.03978357,0.01201930,0.99913597,0.49864843,0.00000000,0.00000000,0.00000000,1.00000000
0013,track,1,0.03499315,-0.01364023,0.49864030,0.00593481,-0.01988853,-0.00034273,0.99978453,0.99920875,0.00044927,-0.03977256,0.03499315,-0.00092134,0.99992925,-0.01185343,-0.01364023,0.03976443,0.01188070,0.99913841,0.49864030,0.00000000,0.00000000,0.00000000,1.00000000
0014,track,1,0.03542063,-0.01380489,0.49858031,0.00607291,-0.01951705,-0.00031241,0.99979109,0.99923795,0.00038763,-0.03902974,0.03542063,-0.00086174,0.99992609,-0.01213108,-0.01380489,0.03902215,0.01215547,0.99916458,0.49858031,0.00000000,0.00000000,0.00000000,1.00000000
0015,track,1,0.03620519,-0.01403361,0.49847025,0.00628049,-0.01866868,-0.00034911,0.99980593,0.99930263,0.00046360,-0.03733450,0.03620519,-0.00093257,0.99992073,-0.01254550,-0.01403361,0.03732572,0.01257157,0.99922395,0.49847025,0.00000000,0.00000000,0.00000000,1.00000000
0016,track,1,0.03723811,-0.01420431,0.49846631,0.00643101,-0.01759191,-0.00035841,0.99982452,0.99938077,0.00049040,-0.03518225,0.03723811,-0.00094301,0.99991703,-0.01284716,-0.01420431,0.03517303,0.01287238,0.99929845,0.49846631,0.00000000,0.00000000,0.00000000,1.00000000
0017,track,1,0.03822138,-0.01436430,0.49835894,0.00657004,-0.01656439,-0.00035289,0.99984121,0.99945110,0.00048807,-0.03312814,0.03822138,-0.00092325,0.99991345,-0.01312628,-0.01436430,0.03311888,0.01314972,0.99936479,0.49835894,0.00000000,0.00000000,0.00000000,1.00000000
0018,track,1,0.03904775,-0.01446483,0.49827921,0.00665701,-0.01568230,-0.00034180,0.99985486,0.99950784,0.00047473,-0.03136460,0.03904775,-0.00089228,0.99991107,-0.01330136,-0.01446483,0.03135550,0.01332280,0.99941951,0.49827921,0.00000000,0.00000000,0.00000000,1.00000000
0019,track,1,0.03964964,-0.01449362,0.49821192,0.00668687,-0.01505213,-0.00033456,0.99986434,0.99954659,0.00046763,-0.03010464,0.03964964,-0.00087044,0.99991035,-0.01336184,-0.01449362,0.03009570,0.01338202,0.99945736,0.49821192,0.00000000,0.00000000,0.00000000,1.00000000
0020,track,1,0.04003460,-0.01450987,0.49816379,0.00670509,-0.01464626,-0.00032190,0.99987024,0.99957085,0.00044734,-0.02929305,0.04003460,-0.00084010,0.99990988,-0.01339902,-0.01450987,0.02928441,0.01341788,0.99948114,0.49816379,0.00000000,0.00000000,0.00000000,1.00000000
0021,track,1,0.04027176,-0.01452469,0.49813315,0.00671917,-0.01439603,-0.00032079,0.99987376,0.99958527,0.00044805,-0.02879274,0.04027176,-0.00083494,0.99990946,-0.01342741,-0.01452469,0.02878412,0.01344588,0.99949527,0.49813315,0.00000000,0.00000000,0.00000000,1.00000000
0022,track,1,0.04041970,-0.01453614,0.49811313,0.00672909,-0.01423984,-0.00032155,0.99987596,0.99959445,0.00045139,-0.02848048,0.04041970,-0.00083467,0.99990940,-0.01344735,-0.01453614,0.02847182,0.01346567,0.99950397,0.49811313,0.00000000,0.00000000,0.00000000,1.00000000
0023,track,1,0.04051257,-0.01454270,0.49809995,0.00673452,-0.01414110,-0.00032295,0.99987733,0.99959987,0.00045523,-0.02828301,0.04051257,-0.00083640,0.99990928,-0.01345819,-0.01454270,0.02827445,0.01347660,0.99950945,0.49809995,0.00000000,0.00000000,0.00000000,1.00000000
0024,track,1,0.04056673,-0.01454611,0.49809176,0.00673720,-0.01408263,-0.00032362,0.99987811,0.99960327,0.00045750,-0.02816615,0.04056673,-0.00083682,0.99990898,-0.01346365,-0.01454611,0.02815752,0.01348186,0.99951261,0.49809176,0.00000000,0.00000000,0.00000000,1.00000000
0025,track,1,0.04061190,-0.01454877,0.49808484,0.00673921,-0.01403351,-0.00032419,0.99987876,0.99960595,0.00045919,-0.02806800,0.04061190,-0.00083742,0.99990898,-0.01346770,-0.01454877,0.02805925,0.01348587,0.99951512,0.49808484,0.00000000,0.00000000,0.00000000,1.00000000
0026,track,1,0.04064573,-0.01455113,0.49807927,0.00674088,-0.01399619,-0.00032450,0.99987930,0.99960792,0.00046024,-0.02799338,0.04064573,-0.00083759,0.99990880,-0.01347104,-0.01455113,0.02798461,0.01348922,0.99951726,0.49807927,0.00000000,0.00000000,0.00000000,1.00000000
0027,track,1,0.04067602,-0.01455349,0.49807435,0.00674252,-0.01396244,-0.00032471,0.99987978,0.99960989,0.00046119,-0.02792590,0.04067602,-0.00083748,0.99990863,-0.01347436,-0.01455349,0.02791713,0.01349249,0.99951923,0.49807435,0.00000000,0.00000000,0.00000000,1.00000000
0028,track,1,0.04070229,-0.01455531,0.49806988,0.00674373,-0.01393308,-0.00032496,0.99988019,0.99961162,0.00046191,-0.02786716,0.04070229,-0.00083777,0.99990886,-0.01347677,-0.01455531,0.02785847,0.01349492,0.99952096,0.49806988,0.00000000,0.00000000,0.00000000,1.00000000
0029,track,1,0.04073229,-0.01455726,0.49806565,0.00674506,-0.01389987,-0.00032515,0.99988061,0.99961334,0.00046265,-0.02780093,0.04073229,-0.00083780,0.99990880,-0.01347949,-0.01455726,0.02779191,0.01349752,0.99952257,0.49806565,0.00000000,0.00000000,0.00000000,1.00000000
0030,track,1,0.04073601,-0.01455764,0.49807379,0.00674469,-0.01388977,-0.00032569,0.99988073,0.99961382,0.00046399,-0.02778062,0.04073601,-0.00083862,0.99990863,-0.01347873,-0.01455764,0.02777181,0.01349680,0.99952316,0.49807379,0.00000000,0.00000000,0.00000000,1.00000000
0031,track,1,0.04062175,-0.01456367,0.49807858,0.00674869,-0.01400270,-0.00032822,0.99987912,0.99960744,0.00046732,-0.02800646,0.04062175,-0.00084539,0.99990863,-0.01348665,-0.01456367,0.02799755,0.01350485,0.99951684,0.49807858,0.00000000,0.00000000,0.00000000,1.00000000
0032,track,1,0.04046120,-0.01457411,0.49808696,0.00675652,-0.01416480,-0.00033255,0.99987680,0.99959850,0.00047371,-0.02833058,0.04046120,-0.00085634,0.99990851,-0.01350202,-0.01457411,0.02832162,0.01352073,0.99950713,0.49808696,0.00000000,0.00000000,0.00000000,1.00000000
0033,track,1,0.04029172,-0.01458832,0.49809220,0.00676659,-0.01433669,-0.00033732,0.99987429,0.99958867,0.00048052,-0.02867434,0.04029172,-0.00086860,0.99990815,-0.01352180,-0.01458832,0.02866521,0.01354115,0.99949747,0.49809220,0.00000000,0.00000000,0.00000000,1.00000000
0034,track,1,0.04010812,-0.01460358,0.49809530,0.00677687,-0.01452496,-0.00034224,0.99987149,0.99957776,0.00048751,-0.02905084,0.04010812,-0.00088128,0.99990785,-0.01354206,-0.01460358,0.02904152,0.01356195,0.99948609,0.49809530,0.00000000,0.00000000,0.00000000,1.00000000
0035,track,1,0.03989240,-0.01462898,0.49809808,0.00679459,-0.01475428,-0.00034900,0.99986804,0.99956435,0.00049745,-0.02950941,0.03989240,-0.00089838,0.99990737,-0.01357707,-0.01462898,0.02949992,0.01359769,0.99947238,0.49809808,0.00000000,0.00000000,0.00000000,1.00000000
0036,track,1,0.03964319,-0.01465959,0.49808598,0.00681637,-0.01503136,-0.00035335,0.99986374,0.99954778,0.00050163,-0.03006343,0.03964319,-0.00091156,0.99990684,-0.01362026,-0.01465959,0.03005381,0.01364151,0.99945527,0.49808598,0.00000000,0.00000000,0.00000000,1.00000000
0037,track,1,0.03937203,-0.01471108,0.49805900,0.00684680,-0.01538932,-0.00036090,0.99985808,0.99952614,0.00051100,-0.03077922,0.03937203,-0.00093241,0.99990600,-0.01368054,-0.01471108,0.03076934,0.01370276,0.99943268,0.49805900,0.00000000,0.00000000,0.00000000,1.00000000
0038,track,1,0.03910952,-0.01475493,0.49802932,0.00687269,-0.01576688,-0.00037293,0.99985200,0.99950254,0.00052905,-0.03153421,0.03910952,-0.00096247,0.99990517,-0.01373157,-0.01475493,0.03152397,0.01375510,0.99940842,0.49802932,0.00000000,0.00000000,0.00000000,1.00000000
0039,track,1,0.03886255,-0.01480106,0.49799284,0.00689632,-0.01613897,-0.00037557,0.99984592,0.99947876,0.00052842,-0.03227814,0.03886255,-0.00097361,0.99990463,-0.01377839,-0.01480106,0.03226778,0.01380263,0.99938381,0.49799284,0.00000000,0.00000000,0.00000000,1.00000000
0040,track,1,0.03862810,-0.01482539,0.49796009,0.00690664,-0.01650505,-0.00038427,0.99983990,0.99945498,0.00054041,-0.03301012,0.03862810,-0.00099641,0.99990457,-0.01379839,-0.01482539,0.03299950,0.01382376,0.99935991,0.49796009,0.00000000,0.00000000,0.00000000,1.00000000
0041,track,1,0.03841436,-0.01488196,0.49791902,0.00694199,-0.01683284,-0.00040242,0.99983418,0.99943304,0.00057098,-0.03366569,0.03841436,-0.00103843,0.99990338,-0.01386813,-0.01488196,0.03365452,0.01389522,0.99933696,0.49791902,0.00000000,0.00000000,0.00000000,1.00000000
0042,track,1,0.03824398,-0.01492693,0.49789152,0.00697063,-0.01715238,-0.00039928,0.99982858,0.99941158,0.00055936,-0.03430444,0.03824398,-0.00103748,0.99990267,-0.01392516,-0.01492693,0.03429331,0.01395256,0.99931461,0.49789152,0.00000000,0.00000000,0.00000000,1.00000000
0043,track,1,0.03806639,-0.01495830,0.49784940,0.00698758,-0.01747255,-0.00038494,0.99982285,0.99938911,0.00052557,-0.03494430,0.03806639,-0.00101394,0.99990207,-0.01395924,-0.01495830,0.03493354,0.01398614,0.99929178,0.49784940,0.00000000,0.00000000,0.00000000,1.00000000
