frame_index,mode,stamp_sec,stamp_nanosec,frame_id,visualization_path,tx,ty,tz,qx,qy,qz,qw,rot_x_deg,rot_y_deg,rot_z_deg,delta_rot_x_deg,delta_rot_y_deg,delta_rot_z_deg,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0,register,1784531420,730721435,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000000.png,0.01240595,-0.04353735,0.47992569,0.69153279,-0.09410664,-0.10233320,0.70884013,88.51853180,0.46527126,-15.97634411,0.00000000,0.00000000,0.00000000,0.96134371,0.01492012,-0.27494663,0.01240595,-0.27523136,0.02262058,-0.96111184,-0.04353735,-0.00812043,0.99963260,0.02585267,0.47992569,-0.00000000,0.00000000,0.00000000,1.00000000
1,track,1784531423,163730662,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000001.png,0.01595611,-0.04585968,0.47768313,0.69208217,-0.09104639,-0.10974848,0.70759320,88.54037476,1.32149100,-16.34452629,0.03019297,-0.34582505,-0.86547440,0.95933157,0.02929141,-0.28075752,0.01595611,-0.28133765,0.01795511,-0.95944089,-0.04585968,-0.02306232,0.99940938,0.02546571,0.47768313,-0.00000000,0.00000000,0.00000000,1.00000000
2,track,1784531423,180324208,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000002.png,0.01614733,-0.04579194,0.47783062,0.69115937,-0.08709445,-0.10777678,0.70929360,88.31319427,1.45723343,-15.86498737,-0.23933218,0.48268718,-0.12353670,0.96159738,0.03249848,-0.27253291,0.01614733,-0.27328303,0.02136579,-0.96169645,-0.04579194,-0.02543078,0.99924314,0.02942663,0.47783062,-0.00000000,0.00000000,0.00000000,1.00000000
3,track,1784531423,280259989,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000003.png,0.01609391,-0.04568071,0.47792640,0.69242132,-0.08888051,-0.10633825,0.70805734,88.54959106,1.22603834,-15.88666153,0.23685658,-0.02846816,0.23045790,0.96158481,0.02750162,-0.27312672,0.01609391,-0.27367264,0.01848967,-0.96164519,-0.04568071,-0.02139677,0.99945045,0.02530589,0.47792640,-0.00000000,0.00000000,0.00000000,1.00000000
4,track,1784531423,380315732,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000004.png,0.01599106,-0.04553860,0.47783032,0.69324046,-0.08930948,-0.10675040,0.70713919,88.68848419,1.24335682,-15.95399189,0.14036062,-0.06685541,-0.01901718,0.96125627,0.02714887,-0.27431583,0.01599106,-0.27480066,0.01604382,-0.96136731,-0.04553860,-0.02169897,0.99950236,0.02288284,0.47783032,-0.00000000,0.00000000,0.00000000,1.00000000
5,track,1784531423,497112343,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000005.png,0.01613509,-0.04574552,0.47760555,0.69347638,-0.08855895,-0.10644346,0.70704848,88.71067810,1.28359854,-15.86770630,0.02026274,0.08716361,-0.03825808,0.96165413,0.02769426,-0.27286300,0.01613509,-0.27334845,0.01552026,-0.96178973,-0.04574552,-0.02240114,0.99949563,0.02249537,0.47760555,-0.00000000,0.00000000,0.00000000,1.00000000
6,track,1784531423,680433888,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000006.png,0.01617002,-0.04609655,0.47809067,0.69525492,-0.08790921,-0.10635284,0.70539469,88.98065186,1.36739874,-15.80460358,0.26847270,0.06495430,-0.08235947,0.96192205,0.02780283,-0.27190602,0.01617002,-0.27227998,0.01061908,-0.96215928,-0.04609655,-0.02386334,0.99955666,0.01778493,0.47809067,-0.00000000,0.00000000,0.00000000,1.00000000
7,track,1784531423,747003389,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000007.png,0.01650565,-0.04570472,0.47776198,0.69217706,-0.08819117,-0.10680887,0.70831138,88.49678802,1.31377733,-15.87071133,-0.48235041,-0.06702737,0.05243820,0.96162826,0.02922005,-0.27279493,0.01650565,-0.27339563,0.01896517,-0.96171451,-0.04570472,-0.02292773,0.99939269,0.02622613,0.47776198,-0.00000000,0.00000000,0.00000000,1.00000000
8,track,1784531423,797146428,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000008.png,0.01573939,-0.04598600,0.47823188,0.69401294,-0.08971508,-0.10639524,0.70638329,88.81969452,1.19945502,-15.95597649,0.32468891,-0.08821192,0.11204702,0.96126240,0.02578476,-0.27442575,0.01573939,-0.27483842,0.01405199,-0.96138757,-0.04598600,-0.02093291,0.99956834,0.02059435,0.47823188,-0.00000000,0.00000000,0.00000000,1.00000000
9,track,1784531423,813892856,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000009.png,0.01545588,-0.04511859,0.47648120,0.69242769,-0.09241879,-0.10508539,0.70778507,88.62432861,0.84243888,-16.06765938,-0.19373736,-0.11900063,0.35463983,0.96083152,0.02076904,-0.27635327,0.01545588,-0.27674234,0.01900166,-0.96075606,-0.04511859,-0.01470280,0.99960327,0.02400516,0.47648120,-0.00000000,0.00000000,0.00000000,1.00000000
10,track,1784531423,863815922,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000010.png,0.01512063,-0.04564544,0.47749722,0.69416672,-0.08987186,-0.10550603,0.70634556,88.84742737,1.11827946,-15.89478397,0.21972878,0.17941590,-0.27161580,0.96158296,0.02427529,-0.27343869,0.01512063,-0.27381948,0.01400168,-0.96167892,-0.04564544,-0.01951642,0.99960679,0.02011093,0.47749722,-0.00000000,0.00000000,0.00000000,1.00000000
11,track,1784531423,930398711,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualization/000011.png,0.01528498,-0.04569763,0.47774693,0.69224280,-0.08893989,-0.10729894,0.70807946,88.52243042,1.29504204,-15.97146702,-0.32327095,-0.07308772,-0.17826842,0.96115315,0.02881632,-0.27450678,0.01528498,-0.27508828,0.01857346,-0.96123928,-0.04569763,-0.02260082,0.99941170,0.02577907,0.47774693,-0.00000000,0.00000000,0.00000000,1.00000000
