frame_index,mode,stamp_sec,stamp_nanosec,frame_id,visualization_path,tx,ty,tz,qx,qy,qz,qw,rot_x_deg,rot_y_deg,rot_z_deg,delta_rot_x_deg,delta_rot_y_deg,delta_rot_z_deg,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0,register,1784510356,67625266,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000000.png,0.02165150,-0.00027464,0.49656752,0.00884523,0.99973297,-0.00668885,-0.02027588,-179.21249390,-2.31667542,178.97024536,0.00000000,0.00000000,0.00000000,-0.99902129,0.01741448,-0.04065927,0.02165150,0.01795698,0.99975407,-0.01301547,-0.00027464,0.04042260,-0.01373279,-0.99908853,0.49656752,-0.00000000,-0.00000000,-0.00000000,1.00000000
1,track,1784510356,84495402,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000001.png,0.02115894,0.00044181,0.49618438,0.00705433,0.99973190,-0.00789055,-0.02059616,-179.07858276,-2.35379624,179.17250061,0.14209029,0.03435351,-0.20257553,-0.99905205,0.01377984,-0.04129260,0.02115894,0.01442993,0.99977595,-0.01548631,0.00044181,0.04106994,-0.01606741,-0.99902731,0.49618438,-0.00000000,-0.00000000,-0.00000000,1.00000000
2,track,1784510358,500906600,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000002.png,0.02177091,0.00045732,0.49562809,0.00689387,0.99969935,-0.00807299,-0.02210428,-179.05677795,-2.52664304,179.18899536,0.02249500,0.17255946,-0.01925362,-0.99892777,0.01342668,-0.04430658,0.02177091,0.01414051,0.99977458,-0.01583638,0.00045732,0.04408395,-0.01644585,-0.99889266,0.49562809,-0.00000000,-0.00000000,-0.00000000,1.00000000
3,track,1784510358,517586337,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000003.png,0.02112201,-0.00013748,0.49588332,0.00688703,0.99975276,-0.00599143,-0.02027516,-179.29701233,-2.31869221,179.19639587,-0.23993067,-0.20804437,-0.00396898,-0.99908304,0.01352767,-0.04062282,0.02112201,0.01401362,0.99983329,-0.01170067,-0.00013748,0.04045777,-0.01225914,-0.99910617,0.49588332,-0.00000000,-0.00000000,-0.00000000,1.00000000
4,track,1784510358,550866625,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000004.png,0.02181290,0.00082838,0.49580660,0.00571065,0.99966210,-0.00759695,-0.02419570,-179.11285400,-2.76779008,179.32397461,0.18930161,0.44750673,-0.13291940,-0.99876404,0.01104980,-0.04846181,0.02181290,0.01178508,0.99981928,-0.01491243,0.00082838,0.04828827,-0.01546508,-0.99871379,0.49580660,-0.00000000,-0.00000000,-0.00000000,1.00000000
5,track,1784510358,634203242,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000005.png,0.02145039,-0.00009683,0.49641103,0.00644549,0.99970150,-0.00499635,-0.02303136,-179.40998840,-2.63565040,179.24761963,-0.30083197,-0.13094079,0.07830061,-0.99885607,0.01265700,-0.04611338,0.02145039,0.01311728,0.99986696,-0.00969284,-0.00009683,0.04598456,-0.01028659,-0.99888927,0.49641103,-0.00000000,-0.00000000,-0.00000000,1.00000000
6,track,1784510358,717579313,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000006.png,0.02156104,0.00020472,0.49596724,0.00772054,0.99967694,-0.00855388,-0.02265462,-178.99900818,-2.58850074,179.09240723,0.40384835,-0.04554114,0.15552810,-0.99885440,0.01504853,-0.04542669,0.02156104,0.01582365,0.99973440,-0.01675244,0.00020472,0.04516250,-0.01745201,-0.99882728,0.49596724,-0.00000000,-0.00000000,-0.00000000,1.00000000
7,track,1784510358,867555089,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000007.png,0.02196985,0.00028019,0.49611041,0.00729702,0.99962085,-0.00778364,-0.02538494,-179.08596802,-2.90252852,179.14036560,-0.08481292,0.31314218,-0.05337567,-0.99860477,0.01419333,-0.05086423,0.02196985,0.01498366,0.99977225,-0.01519093,0.00028019,0.05063702,-0.01593182,-0.99859011,0.49611041,-0.00000000,-0.00000000,-0.00000000,1.00000000
8,track,1784510358,984265831,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000008.png,0.02171004,0.00073691,0.49590191,0.00799564,0.99962997,-0.00947791,-0.02421163,-178.89077759,-2.76581192,179.05667114,0.19095129,-0.13536400,0.08576693,-0.99869978,0.01552641,-0.04855692,0.02171004,0.01644431,0.99969232,-0.01856163,0.00073691,0.04825378,-0.01933597,-0.99864805,0.49590191,-0.00000000,-0.00000000,-0.00000000,1.00000000
9,track,1784510359,68243398,camera_color_optical_frame,/home/bit/ffs+fp+sam/fp/stereo_tracker_fast_outputs/visualizations/000009.png,0.02166554,0.00054137,0.49583369,0.00832899,0.99962533,-0.00806495,-0.02479618,-179.05130005,-2.83382535,179.02177429,-0.16221730,0.06867564,0.03353667,-0.99863160,0.01625177,-0.04970812,0.02166554,0.01705169,0.99973112,-0.01571082,0.00054137,0.04943942,-0.01653692,-0.99864030,0.49583369,-0.00000000,-0.00000000,-0.00000000,1.00000000
